doc_id,doc_name,folder_name
0,67488,comp.windows.x
1,68068,comp.windows.x
2,67477,comp.windows.x
3,68134,comp.windows.x
4,68192,comp.windows.x
5,67523,comp.windows.x
6,67449,comp.windows.x
7,68255,comp.windows.x
8,67467,comp.windows.x
9,68048,comp.windows.x
10,67433,comp.windows.x
11,68246,comp.windows.x
12,68160,comp.windows.x
13,68219,comp.windows.x
14,67554,comp.windows.x
15,68193,comp.windows.x
16,68318,comp.windows.x
17,68202,comp.windows.x
18,68076,comp.windows.x
19,68013,comp.windows.x
20,68017,comp.windows.x
21,68218,comp.windows.x
22,67419,comp.windows.x
23,67545,comp.windows.x
24,68273,comp.windows.x
25,67401,comp.windows.x
26,67555,comp.windows.x
27,67472,comp.windows.x
28,67459,comp.windows.x
29,67500,comp.windows.x
30,67539,comp.windows.x
31,68114,comp.windows.x
32,67529,comp.windows.x
33,68046,comp.windows.x
34,68201,comp.windows.x
35,68326,comp.windows.x
36,68306,comp.windows.x
37,68170,comp.windows.x
38,68304,comp.windows.x
39,67537,comp.windows.x
40,67485,comp.windows.x
41,67973,comp.windows.x
42,68314,comp.windows.x
43,67519,comp.windows.x
44,68258,comp.windows.x
45,68235,comp.windows.x
46,68087,comp.windows.x
47,67411,comp.windows.x
48,67961,comp.windows.x
49,67474,comp.windows.x
50,67564,comp.windows.x
51,67572,comp.windows.x
52,68185,comp.windows.x
53,68274,comp.windows.x
54,68007,comp.windows.x
55,67515,comp.windows.x
56,67986,comp.windows.x
57,68019,comp.windows.x
58,67442,comp.windows.x
59,67557,comp.windows.x
60,68189,comp.windows.x
61,68242,comp.windows.x
62,67552,comp.windows.x
63,67479,comp.windows.x
64,67397,comp.windows.x
65,67548,comp.windows.x
66,68088,comp.windows.x
67,67533,comp.windows.x
68,68205,comp.windows.x
69,67565,comp.windows.x
70,68207,comp.windows.x
71,68231,comp.windows.x
72,67989,comp.windows.x
73,67510,comp.windows.x
74,67540,comp.windows.x
75,68084,comp.windows.x
76,68230,comp.windows.x
77,68226,comp.windows.x
78,68171,comp.windows.x
79,68233,comp.windows.x
80,67553,comp.windows.x
81,67461,comp.windows.x
82,67538,comp.windows.x
83,67429,comp.windows.x
84,67482,comp.windows.x
85,67493,comp.windows.x
86,67464,comp.windows.x
87,68317,comp.windows.x
88,68075,comp.windows.x
89,67543,comp.windows.x
90,68199,comp.windows.x
91,67481,comp.windows.x
92,68109,comp.windows.x
93,67979,comp.windows.x
94,68316,comp.windows.x
95,67400,comp.windows.x
96,67452,comp.windows.x
97,67998,comp.windows.x
98,68172,comp.windows.x
99,68184,comp.windows.x
100,67413,comp.windows.x
101,68137,comp.windows.x
102,67422,comp.windows.x
103,67454,comp.windows.x
104,68110,comp.windows.x
105,68307,comp.windows.x
106,67496,comp.windows.x
107,68302,comp.windows.x
108,67980,comp.windows.x
109,68301,comp.windows.x
110,67568,comp.windows.x
111,67994,comp.windows.x
112,68213,comp.windows.x
113,67405,comp.windows.x
114,67404,comp.windows.x
115,67987,comp.windows.x
116,67387,comp.windows.x
117,68002,comp.windows.x
118,67486,comp.windows.x
119,67435,comp.windows.x
120,67522,comp.windows.x
121,67471,comp.windows.x
122,67475,comp.windows.x
123,68198,comp.windows.x
124,67450,comp.windows.x
125,67542,comp.windows.x
126,67528,comp.windows.x
127,67882,comp.windows.x
128,67423,comp.windows.x
129,68113,comp.windows.x
130,67399,comp.windows.x
131,67438,comp.windows.x
132,67457,comp.windows.x
133,68253,comp.windows.x
134,68257,comp.windows.x
135,67463,comp.windows.x
136,67995,comp.windows.x
137,68082,comp.windows.x
138,68120,comp.windows.x
139,68278,comp.windows.x
140,67415,comp.windows.x
141,67402,comp.windows.x
142,67502,comp.windows.x
143,68115,comp.windows.x
144,68221,comp.windows.x
145,67394,comp.windows.x
146,68321,comp.windows.x
147,68325,comp.windows.x
148,68135,comp.windows.x
149,68174,comp.windows.x
150,67436,comp.windows.x
151,68229,comp.windows.x
152,68008,comp.windows.x
153,67507,comp.windows.x
154,67458,comp.windows.x
155,67546,comp.windows.x
156,67444,comp.windows.x
157,68309,comp.windows.x
158,68047,comp.windows.x
159,67981,comp.windows.x
160,68222,comp.windows.x
161,67516,comp.windows.x
162,68240,comp.windows.x
163,68319,comp.windows.x
164,67977,comp.windows.x
165,68176,comp.windows.x
166,67396,comp.windows.x
167,67559,comp.windows.x
168,68116,comp.windows.x
169,68188,comp.windows.x
170,68108,comp.windows.x
171,68200,comp.windows.x
172,67476,comp.windows.x
173,68320,comp.windows.x
174,67445,comp.windows.x
175,67398,comp.windows.x
176,68323,comp.windows.x
177,67460,comp.windows.x
178,68015,comp.windows.x
179,68244,comp.windows.x
180,67484,comp.windows.x
181,67503,comp.windows.x
182,68182,comp.windows.x
183,67424,comp.windows.x
184,68069,comp.windows.x
185,68117,comp.windows.x
186,67456,comp.windows.x
187,68315,comp.windows.x
188,67547,comp.windows.x
189,67443,comp.windows.x
190,67465,comp.windows.x
191,68311,comp.windows.x
192,68212,comp.windows.x
193,68237,comp.windows.x
194,68187,comp.windows.x
195,67517,comp.windows.x
196,68086,comp.windows.x
197,68239,comp.windows.x
198,67551,comp.windows.x
199,67403,comp.windows.x
200,68112,comp.windows.x
201,67425,comp.windows.x
202,67468,comp.windows.x
203,67976,comp.windows.x
204,67418,comp.windows.x
205,68085,comp.windows.x
206,67983,comp.windows.x
207,68056,comp.windows.x
208,68324,comp.windows.x
209,68338,comp.windows.x
210,67491,comp.windows.x
211,68177,comp.windows.x
212,67455,comp.windows.x
213,68238,comp.windows.x
214,67534,comp.windows.x
215,68081,comp.windows.x
216,67536,comp.windows.x
217,68310,comp.windows.x
218,67988,comp.windows.x
219,68312,comp.windows.x
220,67504,comp.windows.x
221,68010,comp.windows.x
222,68272,comp.windows.x
223,67509,comp.windows.x
224,68220,comp.windows.x
225,67996,comp.windows.x
226,67453,comp.windows.x
227,67499,comp.windows.x
228,68248,comp.windows.x
229,67434,comp.windows.x
230,67997,comp.windows.x
231,67439,comp.windows.x
232,67521,comp.windows.x
233,68211,comp.windows.x
234,68210,comp.windows.x
235,68214,comp.windows.x
236,68252,comp.windows.x
237,68228,comp.windows.x
238,68313,comp.windows.x
239,67975,comp.windows.x
240,68078,comp.windows.x
241,67530,comp.windows.x
242,68249,comp.windows.x
243,67992,comp.windows.x
244,68256,comp.windows.x
245,68089,comp.windows.x
246,68332,comp.windows.x
247,67883,comp.windows.x
248,68074,comp.windows.x
249,67483,comp.windows.x
250,68224,comp.windows.x
251,68131,comp.windows.x
252,67558,comp.windows.x
253,68196,comp.windows.x
254,67420,comp.windows.x
255,67469,comp.windows.x
256,68322,comp.windows.x
257,67573,comp.windows.x
258,67412,comp.windows.x
259,67487,comp.windows.x
260,67462,comp.windows.x
261,68111,comp.windows.x
262,67525,comp.windows.x
263,67511,comp.windows.x
264,67999,comp.windows.x
265,67447,comp.windows.x
266,67501,comp.windows.x
267,67416,comp.windows.x
268,67535,comp.windows.x
269,67414,comp.windows.x
270,68299,comp.windows.x
271,67489,comp.windows.x
272,68194,comp.windows.x
273,68245,comp.windows.x
274,68204,comp.windows.x
275,68083,comp.windows.x
276,68191,comp.windows.x
277,68250,comp.windows.x
278,68197,comp.windows.x
279,68215,comp.windows.x
280,68195,comp.windows.x
281,67549,comp.windows.x
282,67532,comp.windows.x
283,67561,comp.windows.x
284,67426,comp.windows.x
285,68175,comp.windows.x
286,67446,comp.windows.x
287,68277,comp.windows.x
288,67480,comp.windows.x
289,68138,comp.windows.x
290,67512,comp.windows.x
291,67520,comp.windows.x
292,67974,comp.windows.x
293,68012,comp.windows.x
294,68254,comp.windows.x
295,68159,comp.windows.x
296,67437,comp.windows.x
297,67978,comp.windows.x
298,67498,comp.windows.x
299,68203,comp.windows.x
300,67385,comp.windows.x
301,68308,comp.windows.x
302,67562,comp.windows.x
303,68018,comp.windows.x
304,68173,comp.windows.x
305,67441,comp.windows.x
306,67506,comp.windows.x
307,67490,comp.windows.x
308,68077,comp.windows.x
309,67550,comp.windows.x
310,68305,comp.windows.x
311,67421,comp.windows.x
312,68014,comp.windows.x
313,67518,comp.windows.x
314,68247,comp.windows.x
315,67993,comp.windows.x
316,68217,comp.windows.x
317,67567,comp.windows.x
318,68241,comp.windows.x
319,67440,comp.windows.x
320,67390,comp.windows.x
321,67982,comp.windows.x
322,67571,comp.windows.x
323,68232,comp.windows.x
324,68004,comp.windows.x
325,67984,comp.windows.x
326,68225,comp.windows.x
327,68016,comp.windows.x
328,67407,comp.windows.x
329,67556,comp.windows.x
330,68298,comp.windows.x
331,67513,comp.windows.x
332,67395,comp.windows.x
333,67417,comp.windows.x
334,67508,comp.windows.x
335,68118,comp.windows.x
336,67451,comp.windows.x
337,67526,comp.windows.x
338,67431,comp.windows.x
339,68300,comp.windows.x
340,68057,comp.windows.x
341,67560,comp.windows.x
342,67409,comp.windows.x
343,68190,comp.windows.x
344,67478,comp.windows.x
345,68006,comp.windows.x
346,68259,comp.windows.x
347,67432,comp.windows.x
348,67505,comp.windows.x
349,68009,comp.windows.x
350,67990,comp.windows.x
351,67582,comp.windows.x
352,68183,comp.windows.x
